127.0.0.1, 2013-01-20 23:48:12, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.078000
127.0.0.1, 2013-01-20 23:48:13, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-20 23:48:33, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.057000
127.0.0.1, 2013-01-20 23:48:34, GET, /welcome/static/js/rtc.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-01-20 23:50:56, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.062000
127.0.0.1, 2013-01-20 23:51:11, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.057000
127.0.0.1, 2013-01-20 23:51:11, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-20 23:55:51, POST, /admin/default/edit/welcome/controllers/webrtc.py, HTTP/1.1, 200, 0.091000
127.0.0.1, 2013-01-20 23:56:55, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.070000
127.0.0.1, 2013-01-20 23:56:58, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.072000
127.0.0.1, 2013-01-20 23:56:58, GET, /welcome/static/js/adapter.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-20 23:56:58, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-20 23:57:50, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.066000
127.0.0.1, 2013-01-20 23:57:50, GET, /welcome/static/js/adapter.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-01-20 23:57:50, GET, /welcome/static/js/rtc.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-20 23:58:30, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.083000
127.0.0.1, 2013-01-20 23:59:41, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.072000
127.0.0.1, 2013-01-20 23:59:44, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.082000
127.0.0.1, 2013-01-20 23:59:44, GET, /welcome/static/js/adapter.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2013-01-20 23:59:44, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-21 00:00:13, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.073000
127.0.0.1, 2013-01-21 00:00:14, GET, /welcome/static/js/adapter.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-01-21 00:00:14, GET, /welcome/static/js/rtc.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-01-21 00:00:53, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.068000
127.0.0.1, 2013-01-21 00:00:53, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-01-21 00:00:53, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2013-01-21 00:00:53, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-01-21 00:00:53, GET, /welcome/static/js/rtc.js, HTTP/1.1, 304, 0.000000
